horizonte,modelo,n,rmse,mae,mase,n_mase,excluidas,comparacion
1,estacional_52s,16,70.29748395213016,67.035,0.8972570169902786,16,0,complementaria_disponibilidad_propia
1,hibrido,16,123.77075592497295,83.35706887489926,1.1264361347987148,16,0,principal_fechas_comunes
1,promedio_4s,16,142.64997124189162,102.698125,1.3809993052149707,16,0,complementaria_disponibilidad_propia
1,rf,16,120.11860306295843,74.67629807481485,1.02461624270106,16,0,principal_fechas_comunes
1,ss_arima111,16,128.76580292245367,89.390778292918,1.2038598996134868,16,0,principal_fechas_comunes
1,ultimo_valor,16,156.78700075659972,69.364375,0.9523173067839061,16,0,principal_fechas_comunes
2,estacional_52s,15,69.42515471114677,66.01866666666665,0.8845692351373161,15,0,complementaria_disponibilidad_propia
2,hibrido,15,115.79912065430936,80.07358442365748,1.0874015877959242,15,0,principal_fechas_comunes
2,promedio_4s,15,153.10658032886764,120.09066666666668,1.615104365218874,15,0,complementaria_disponibilidad_propia
2,rf,15,109.84072830127309,69.70119178502496,0.9516828205426985,15,0,principal_fechas_comunes
2,ss_ar1,15,146.0465792571645,123.91201311116977,1.6671460579357178,15,0,principal_fechas_comunes
2,ultimo_valor,15,165.54988208996105,84.93133333333336,1.161273297161104,15,0,principal_fechas_comunes
3,estacional_52s,14,69.35862244265564,65.7092857142857,0.883081903370811,14,0,complementaria_disponibilidad_propia
3,hibrido,14,117.69898507912968,80.46350622178079,1.096258844256093,14,0,principal_fechas_comunes
3,promedio_4s,14,160.45348029101768,129.70392857142858,1.7510864321940176,14,0,complementaria_disponibilidad_propia
3,rf,14,111.77718565990554,66.12294294929585,0.9051151695859231,14,0,principal_fechas_comunes
3,ss_ar1,14,146.3013468574312,123.48519603923556,1.6696898682666024,14,0,principal_fechas_comunes
3,ultimo_valor,14,182.26887819137653,105.34857142857143,1.440389441939529,14,0,principal_fechas_comunes
4,estacional_52s,13,68.91725222211164,65.00538461538461,0.8769384749671988,13,0,complementaria_disponibilidad_propia
4,hgb,13,141.52310731865632,107.50600903476243,1.4783133081165905,13,0,principal_fechas_comunes
4,hibrido,13,137.29901414524397,99.94449176327484,1.3744457710441713,13,0,principal_fechas_comunes
4,promedio_4s,13,164.18852271064455,133.64326923076922,1.812331011442673,13,0,complementaria_disponibilidad_propia
4,ss_ar1,13,146.14356612568085,122.16992484520698,1.66287209191538,13,0,principal_fechas_comunes
4,ultimo_valor,13,190.6908522472151,126.2653846153846,1.723000453130942,13,0,principal_fechas_comunes
