semana_inicio,fondant_sin_especificacion,nutella,tegral_satin_creme_cake_sabor_no_especificado,chantilly_sin_especificacion,crema_batir_ambiente_1_l,queso_philadelphia,tegral_satin_red_velvet,easy_pastel_tres_leches_sabor_no_especificado,transfer_sin_especificacion,chantilly_dulce,chantilly_asturias,chips_blanco_alpezzi,fondant_nata_coco_blanco,chantilly_dull,capacillos,huevo_sin_especificacion,contenedor_mantecadas_inix_25_pz,confitier_semiamargo_turin,chips_chocolate_semi,tegral_satin_vainilla,transfer_hoja_de_arroz_gruesa,tegral_satin_chocolate,domo_cupcake_12,mantequilla_gloria_presentacion_no_especificada,ferrero_rocher_t16,huevo_san_juan,relleno_zarzamora_puratos,aceite_sin_especificacion,matizador,caja_de_carton_para_cupcake_6_pz,carlos_v_stick,kisses_leche,empaque_32_x_32_x_30,ferrero_sin_especificacion,domo_media_plancha_inix,deiman_plumones_magicos,empaque_30_x_30_x_30,queso_crema_suelto,royal_icing_deiman_50_sin_unidad,pegamento_fondant,base_28_cm,bailey_s,domo_1_4_plancha,colorantes_9_colores,sabrosano,huevo_blanco_tepa_de_linea,mangas,relleno_durazno_puratos,kit_kat_9_pz,oblea_arroz,huevo_calvario,bisagra_12_cupcakes,chocolate_sin_especificacion,caja_cupcake_12,empaque_31_x_31_x_20,oreo_273_6,perlas_sin_especificacion,chips_chocolate_con_l,relleno_fresa_frutifru,base_36_cm_doble,harina_red_velvet_esp,mantequilla_gloria_verde,caja_cupcake_6,botellas_jack_daniels,royal_icing_sin_especificacion,azucar_glass,kisses_leche_choc_bl_807_gr,dlr_malvavisco_chocolate_32_pz,alpezzi_blanco,relleno_queso_creme_p,ac_au800,domo_cupcake_6,caja_cupcake_sin_capacidad,red_velvet,cereza_con_rabo_diana,charola_galletera_alta_grande,mantequilla_gloria_22,domo_cupcake_sin_capacidad,relleno_zarzamora_fruitfil_puratos,chips_rojo_alpezzi,capacillo_floreado_alegria,inix_contenedor_mantecadas,otros
2021-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-19,0.22074468085106383,0.0,0.0,0.0,0.044326241134751775,0.0,0.0,0.0,0.1196808510638298,0.0,0.11702127659574468,0.0,0.0,0.0,0.06648936170212766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044326241134751775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03368794326241135,0.0,0.0,0.0,0.0,0.0,0.0,0.012411347517730497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09485815602836879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20390070921985815
2021-07-26,0.11231393775372124,0.08795669824086604,0.0,0.15832205683355885,0.0,0.0,0.07036535859269283,0.0,0.0,0.0,0.05953991880920163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5115020297699594
2021-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-23,0.14335060449050085,0.11226252158894647,0.0,0.0,0.0,0.0,0.08981001727115717,0.0,0.0,0.0,0.07599309153713299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03626943005181347,0.0,0.0,0.0,0.0,0.0,0.03454231433506045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5077720207253886
2021-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5945945945945946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40540540540540543
2021-09-13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
