origen,fecha_objetivo,horizonte,modelo,insumo_id,real,prediccion
2024-01-01,2024-01-15,3,participacion_ewm,HUEVO,0.0,0.0252214349384174
2024-01-01,2024-01-15,3,participacion_ewm,QUESO CREMA,0.0,0.026977828563114887
2024-01-01,2024-01-15,3,participacion_ewm,otros,1.0,0.23467921590909768
2024-01-01,2024-01-22,4,participacion_historica,CHOCOLATE,0.49122807017543857,0.13734407241021646
2024-01-01,2024-01-22,4,participacion_historica,HARINA,0.0,0.12144155467343815
2024-01-01,2024-01-22,4,participacion_historica,FONDANT,0.0,0.09702606005140109
2024-01-01,2024-01-22,4,participacion_historica,EMPAQUE,0.0,0.07991563342393072
2024-01-01,2024-01-22,4,participacion_historica,RELLENO,0.0,0.06641831115642867
2024-01-01,2024-01-22,4,participacion_historica,CHANTILLY,0.0,0.08543796984987952
2024-01-01,2024-01-22,4,participacion_historica,DECORACION,0.14619883040935672,0.06035424071309249
2024-01-01,2024-01-22,4,participacion_historica,AMBIANTE,0.19298245614035087,0.05301489464174542
2024-01-01,2024-01-22,4,participacion_historica,HUEVO,0.0,0.057336126763367364
2024-01-01,2024-01-22,4,participacion_historica,QUESO CREMA,0.0,0.030111417153074964
2024-01-01,2024-01-22,4,participacion_historica,otros,0.1695906432748538,0.21159971916342518
2024-01-01,2024-01-22,4,participacion_ewm,CHOCOLATE,0.49122807017543857,0.13470966257902084
2024-01-01,2024-01-22,4,participacion_ewm,HARINA,0.0,0.13416490524370628
2024-01-01,2024-01-22,4,participacion_ewm,FONDANT,0.0,0.06772038779950361
2024-01-01,2024-01-22,4,participacion_ewm,EMPAQUE,0.0,0.11955551354399437
2024-01-01,2024-01-22,4,participacion_ewm,RELLENO,0.0,0.08904080548661167
2024-01-01,2024-01-22,4,participacion_ewm,CHANTILLY,0.0,0.08335658402720969
2024-01-01,2024-01-22,4,participacion_ewm,DECORACION,0.14619883040935672,0.04399611148299369
2024-01-01,2024-01-22,4,participacion_ewm,AMBIANTE,0.19298245614035087,0.04057755042632977
2024-01-01,2024-01-22,4,participacion_ewm,HUEVO,0.0,0.0252214349384174
2024-01-01,2024-01-22,4,participacion_ewm,QUESO CREMA,0.0,0.026977828563114887
2024-01-01,2024-01-22,4,participacion_ewm,otros,0.1695906432748538,0.23467921590909768
2024-01-08,2024-01-08,1,participacion_historica,CHOCOLATE,0.04228423910624471,0.13734407241021646
2024-01-08,2024-01-08,1,participacion_historica,HARINA,0.21875417278675388,0.12144155467343815
2024-01-08,2024-01-08,1,participacion_historica,FONDANT,0.09235768015311345,0.09702606005140109
2024-01-08,2024-01-08,1,participacion_historica,EMPAQUE,0.0712155605999911,0.07991563342393072
2024-01-08,2024-01-08,1,participacion_historica,RELLENO,0.0,0.06641831115642867
2024-01-08,2024-01-08,1,participacion_historica,CHANTILLY,0.0,0.08543796984987952
2024-01-08,2024-01-08,1,participacion_historica,DECORACION,0.1813771309031023,0.06035424071309249
2024-01-08,2024-01-08,1,participacion_historica,AMBIANTE,0.0,0.05301489464174542
2024-01-08,2024-01-08,1,participacion_historica,HUEVO,0.09334802154270708,0.057336126763367364
2024-01-08,2024-01-08,1,participacion_historica,QUESO CREMA,0.1582320737081052,0.030111417153074964
2024-01-08,2024-01-08,1,participacion_historica,otros,0.1424311211999822,0.21159971916342518
2024-01-08,2024-01-08,1,participacion_ewm,CHOCOLATE,0.04228423910624471,0.13470966257902084
2024-01-08,2024-01-08,1,participacion_ewm,HARINA,0.21875417278675388,0.13416490524370628
2024-01-08,2024-01-08,1,participacion_ewm,FONDANT,0.09235768015311345,0.06772038779950362
2024-01-08,2024-01-08,1,participacion_ewm,EMPAQUE,0.0712155605999911,0.11955551354399437
2024-01-08,2024-01-08,1,participacion_ewm,RELLENO,0.0,0.08904080548661168
2024-01-08,2024-01-08,1,participacion_ewm,CHANTILLY,0.0,0.08335658402720972
2024-01-08,2024-01-08,1,participacion_ewm,DECORACION,0.1813771309031023,0.0439961114829937
2024-01-08,2024-01-08,1,participacion_ewm,AMBIANTE,0.0,0.040577550426329774
2024-01-08,2024-01-08,1,participacion_ewm,HUEVO,0.09334802154270708,0.0252214349384174
2024-01-08,2024-01-08,1,participacion_ewm,QUESO CREMA,0.1582320737081052,0.026977828563114887
2024-01-08,2024-01-08,1,participacion_ewm,otros,0.1424311211999822,0.2346792159090977
2024-01-08,2024-01-15,2,participacion_historica,CHOCOLATE,0.0,0.13734407241021646
2024-01-08,2024-01-15,2,participacion_historica,HARINA,0.0,0.12144155467343815
2024-01-08,2024-01-15,2,participacion_historica,FONDANT,0.0,0.09702606005140109
2024-01-08,2024-01-15,2,participacion_historica,EMPAQUE,0.0,0.07991563342393072
2024-01-08,2024-01-15,2,participacion_historica,RELLENO,0.0,0.06641831115642867
2024-01-08,2024-01-15,2,participacion_historica,CHANTILLY,0.0,0.08543796984987952
2024-01-08,2024-01-15,2,participacion_historica,DECORACION,0.0,0.06035424071309249
2024-01-08,2024-01-15,2,participacion_historica,AMBIANTE,0.0,0.05301489464174542
2024-01-08,2024-01-15,2,participacion_historica,HUEVO,0.0,0.057336126763367364
2024-01-08,2024-01-15,2,participacion_historica,QUESO CREMA,0.0,0.030111417153074964
2024-01-08,2024-01-15,2,participacion_historica,otros,1.0,0.21159971916342518
2024-01-08,2024-01-15,2,participacion_ewm,CHOCOLATE,0.0,0.13470966257902084
2024-01-08,2024-01-15,2,participacion_ewm,HARINA,0.0,0.13416490524370628
2024-01-08,2024-01-15,2,participacion_ewm,FONDANT,0.0,0.06772038779950362
2024-01-08,2024-01-15,2,participacion_ewm,EMPAQUE,0.0,0.11955551354399437
2024-01-08,2024-01-15,2,participacion_ewm,RELLENO,0.0,0.08904080548661168
2024-01-08,2024-01-15,2,participacion_ewm,CHANTILLY,0.0,0.08335658402720972
2024-01-08,2024-01-15,2,participacion_ewm,DECORACION,0.0,0.0439961114829937
2024-01-08,2024-01-15,2,participacion_ewm,AMBIANTE,0.0,0.040577550426329774
2024-01-08,2024-01-15,2,participacion_ewm,HUEVO,0.0,0.0252214349384174
2024-01-08,2024-01-15,2,participacion_ewm,QUESO CREMA,0.0,0.026977828563114887
2024-01-08,2024-01-15,2,participacion_ewm,otros,1.0,0.2346792159090977
2024-01-08,2024-01-22,3,participacion_historica,CHOCOLATE,0.49122807017543857,0.13734407241021646
2024-01-08,2024-01-22,3,participacion_historica,HARINA,0.0,0.12144155467343815
2024-01-08,2024-01-22,3,participacion_historica,FONDANT,0.0,0.09702606005140109
2024-01-08,2024-01-22,3,participacion_historica,EMPAQUE,0.0,0.07991563342393072
2024-01-08,2024-01-22,3,participacion_historica,RELLENO,0.0,0.06641831115642867
2024-01-08,2024-01-22,3,participacion_historica,CHANTILLY,0.0,0.08543796984987952
2024-01-08,2024-01-22,3,participacion_historica,DECORACION,0.14619883040935672,0.06035424071309249
2024-01-08,2024-01-22,3,participacion_historica,AMBIANTE,0.19298245614035087,0.05301489464174542
2024-01-08,2024-01-22,3,participacion_historica,HUEVO,0.0,0.057336126763367364
2024-01-08,2024-01-22,3,participacion_historica,QUESO CREMA,0.0,0.030111417153074964
2024-01-08,2024-01-22,3,participacion_historica,otros,0.1695906432748538,0.21159971916342518
2024-01-08,2024-01-22,3,participacion_ewm,CHOCOLATE,0.49122807017543857,0.13470966257902084
2024-01-08,2024-01-22,3,participacion_ewm,HARINA,0.0,0.13416490524370628
2024-01-08,2024-01-22,3,participacion_ewm,FONDANT,0.0,0.06772038779950362
2024-01-08,2024-01-22,3,participacion_ewm,EMPAQUE,0.0,0.11955551354399437
2024-01-08,2024-01-22,3,participacion_ewm,RELLENO,0.0,0.08904080548661168
2024-01-08,2024-01-22,3,participacion_ewm,CHANTILLY,0.0,0.08335658402720972
2024-01-08,2024-01-22,3,participacion_ewm,DECORACION,0.14619883040935672,0.0439961114829937
2024-01-08,2024-01-22,3,participacion_ewm,AMBIANTE,0.19298245614035087,0.040577550426329774
2024-01-08,2024-01-22,3,participacion_ewm,HUEVO,0.0,0.0252214349384174
2024-01-08,2024-01-22,3,participacion_ewm,QUESO CREMA,0.0,0.026977828563114887
2024-01-08,2024-01-22,3,participacion_ewm,otros,0.1695906432748538,0.2346792159090977
2024-01-08,2024-01-29,4,participacion_historica,CHOCOLATE,,0.13734407241021646
2024-01-08,2024-01-29,4,participacion_historica,HARINA,,0.12144155467343815
2024-01-08,2024-01-29,4,participacion_historica,FONDANT,,0.09702606005140109
2024-01-08,2024-01-29,4,participacion_historica,EMPAQUE,,0.07991563342393072
2024-01-08,2024-01-29,4,participacion_historica,RELLENO,,0.06641831115642867
2024-01-08,2024-01-29,4,participacion_historica,CHANTILLY,,0.08543796984987952
2024-01-08,2024-01-29,4,participacion_historica,DECORACION,,0.06035424071309249
2024-01-08,2024-01-29,4,participacion_historica,AMBIANTE,,0.05301489464174542
2024-01-08,2024-01-29,4,participacion_historica,HUEVO,,0.057336126763367364
2024-01-08,2024-01-29,4,participacion_historica,QUESO CREMA,,0.030111417153074964
2024-01-08,2024-01-29,4,participacion_historica,otros,,0.21159971916342518
2024-01-08,2024-01-29,4,participacion_ewm,CHOCOLATE,,0.13470966257902084
2024-01-08,2024-01-29,4,participacion_ewm,HARINA,,0.13416490524370628
2024-01-08,2024-01-29,4,participacion_ewm,FONDANT,,0.06772038779950362
2024-01-08,2024-01-29,4,participacion_ewm,EMPAQUE,,0.11955551354399437
2024-01-08,2024-01-29,4,participacion_ewm,RELLENO,,0.08904080548661168
2024-01-08,2024-01-29,4,participacion_ewm,CHANTILLY,,0.08335658402720972
2024-01-08,2024-01-29,4,participacion_ewm,DECORACION,,0.0439961114829937
2024-01-08,2024-01-29,4,participacion_ewm,AMBIANTE,,0.040577550426329774
2024-01-08,2024-01-29,4,participacion_ewm,HUEVO,,0.0252214349384174
2024-01-08,2024-01-29,4,participacion_ewm,QUESO CREMA,,0.026977828563114887
2024-01-08,2024-01-29,4,participacion_ewm,otros,,0.2346792159090977
2024-01-15,2024-01-15,1,participacion_historica,CHOCOLATE,0.0,0.13570510976704453
2024-01-15,2024-01-15,1,participacion_historica,HARINA,0.0,0.12311935843401256
2024-01-15,2024-01-15,1,participacion_historica,FONDANT,0.0,0.09694557074280993
2024-01-15,2024-01-15,1,participacion_historica,EMPAQUE,0.0,0.07976563216834558
2024-01-15,2024-01-15,1,participacion_historica,RELLENO,0.0,0.06527316786062819
2024-01-15,2024-01-15,1,participacion_historica,CHANTILLY,0.0,0.08396490140419195
2024-01-15,2024-01-15,1,participacion_historica,DECORACION,0.0,0.06244084226809267
2024-01-15,2024-01-15,1,participacion_historica,AMBIANTE,0.0,0.052100844734129126
2024-01-15,2024-01-15,1,participacion_historica,HUEVO,0.0,0.05795702150094219
2024-01-15,2024-01-15,1,participacion_historica,QUESO CREMA,0.0,0.032320393990230664
2024-01-15,2024-01-15,1,participacion_historica,otros,1.0,0.21040715712957275
2024-01-15,2024-01-15,1,participacion_ewm,CHOCOLATE,0.0,0.12382812994989215
2024-01-15,2024-01-15,1,participacion_ewm,HARINA,0.0,0.1441238628579486
2024-01-15,2024-01-15,1,participacion_ewm,FONDANT,0.0,0.07062101287176153
2024-01-15,2024-01-15,1,participacion_ewm,EMPAQUE,0.0,0.113864300504482
2024-01-15,2024-01-15,1,participacion_ewm,RELLENO,0.0,0.07855775446210805
2024-01-15,2024-01-15,1,participacion_ewm,CHANTILLY,0.0,0.0735427540780079
2024-01-15,2024-01-15,1,participacion_ewm,DECORACION,0.0,0.06017040627411473
2024-01-15,2024-01-15,1,participacion_ewm,AMBIANTE,0.0,0.03580022918306514
2024-01-15,2024-01-15,1,participacion_ewm,HUEVO,0.0,0.03324218991244354
2024-01-15,2024-01-15,1,participacion_ewm,QUESO CREMA,0.0,0.042430799159214584
2024-01-15,2024-01-15,1,participacion_ewm,otros,1.0,0.2238185607469619
2024-01-15,2024-01-22,2,participacion_historica,CHOCOLATE,0.49122807017543857,0.13570510976704453
2024-01-15,2024-01-22,2,participacion_historica,HARINA,0.0,0.12311935843401256
2024-01-15,2024-01-22,2,participacion_historica,FONDANT,0.0,0.09694557074280993
2024-01-15,2024-01-22,2,participacion_historica,EMPAQUE,0.0,0.07976563216834558
2024-01-15,2024-01-22,2,participacion_historica,RELLENO,0.0,0.06527316786062819
2024-01-15,2024-01-22,2,participacion_historica,CHANTILLY,0.0,0.08396490140419195
2024-01-15,2024-01-22,2,participacion_historica,DECORACION,0.14619883040935672,0.06244084226809267
2024-01-15,2024-01-22,2,participacion_historica,AMBIANTE,0.19298245614035087,0.052100844734129126
2024-01-15,2024-01-22,2,participacion_historica,HUEVO,0.0,0.05795702150094219
2024-01-15,2024-01-22,2,participacion_historica,QUESO CREMA,0.0,0.032320393990230664
2024-01-15,2024-01-22,2,participacion_historica,otros,0.1695906432748538,0.21040715712957275
2024-01-15,2024-01-22,2,participacion_ewm,CHOCOLATE,0.49122807017543857,0.12382812994989215
2024-01-15,2024-01-22,2,participacion_ewm,HARINA,0.0,0.1441238628579486
2024-01-15,2024-01-22,2,participacion_ewm,FONDANT,0.0,0.07062101287176153
2024-01-15,2024-01-22,2,participacion_ewm,EMPAQUE,0.0,0.113864300504482
2024-01-15,2024-01-22,2,participacion_ewm,RELLENO,0.0,0.07855775446210805
2024-01-15,2024-01-22,2,participacion_ewm,CHANTILLY,0.0,0.0735427540780079
2024-01-15,2024-01-22,2,participacion_ewm,DECORACION,0.14619883040935672,0.06017040627411473
2024-01-15,2024-01-22,2,participacion_ewm,AMBIANTE,0.19298245614035087,0.03580022918306514
2024-01-15,2024-01-22,2,participacion_ewm,HUEVO,0.0,0.03324218991244354
2024-01-15,2024-01-22,2,participacion_ewm,QUESO CREMA,0.0,0.042430799159214584
2024-01-15,2024-01-22,2,participacion_ewm,otros,0.1695906432748538,0.2238185607469619
2024-01-15,2024-01-29,3,participacion_historica,CHOCOLATE,,0.13570510976704453
2024-01-15,2024-01-29,3,participacion_historica,HARINA,,0.12311935843401256
2024-01-15,2024-01-29,3,participacion_historica,FONDANT,,0.09694557074280993
2024-01-15,2024-01-29,3,participacion_historica,EMPAQUE,,0.07976563216834558
2024-01-15,2024-01-29,3,participacion_historica,RELLENO,,0.06527316786062819
2024-01-15,2024-01-29,3,participacion_historica,CHANTILLY,,0.08396490140419195
2024-01-15,2024-01-29,3,participacion_historica,DECORACION,,0.06244084226809267
2024-01-15,2024-01-29,3,participacion_historica,AMBIANTE,,0.052100844734129126
2024-01-15,2024-01-29,3,participacion_historica,HUEVO,,0.05795702150094219
2024-01-15,2024-01-29,3,participacion_historica,QUESO CREMA,,0.032320393990230664
2024-01-15,2024-01-29,3,participacion_historica,otros,,0.21040715712957275
2024-01-15,2024-01-29,3,participacion_ewm,CHOCOLATE,,0.12382812994989215
2024-01-15,2024-01-29,3,participacion_ewm,HARINA,,0.1441238628579486
2024-01-15,2024-01-29,3,participacion_ewm,FONDANT,,0.07062101287176153
2024-01-15,2024-01-29,3,participacion_ewm,EMPAQUE,,0.113864300504482
2024-01-15,2024-01-29,3,participacion_ewm,RELLENO,,0.07855775446210805
2024-01-15,2024-01-29,3,participacion_ewm,CHANTILLY,,0.0735427540780079
2024-01-15,2024-01-29,3,participacion_ewm,DECORACION,,0.06017040627411473
2024-01-15,2024-01-29,3,participacion_ewm,AMBIANTE,,0.03580022918306514
2024-01-15,2024-01-29,3,participacion_ewm,HUEVO,,0.03324218991244354
2024-01-15,2024-01-29,3,participacion_ewm,QUESO CREMA,,0.042430799159214584
2024-01-15,2024-01-29,3,participacion_ewm,otros,,0.2238185607469619
