origen,fecha_objetivo,horizonte,insumo_id,participacion,importe,total_redondeado
2024-01-01,2024-01-01,1,CHOCOLATE,0.13470966257902084,98.85,733.77
2024-01-01,2024-01-01,1,HARINA,0.13416490524370628,98.45,733.77
2024-01-01,2024-01-01,1,FONDANT,0.06772038779950361,49.69,733.77
2024-01-01,2024-01-01,1,EMPAQUE,0.11955551354399437,87.73,733.77
2024-01-01,2024-01-01,1,RELLENO,0.08904080548661167,65.33,733.77
2024-01-01,2024-01-01,1,CHANTILLY,0.08335658402720969,61.16,733.77
2024-01-01,2024-01-01,1,DECORACION,0.04399611148299369,32.28,733.77
2024-01-01,2024-01-01,1,AMBIANTE,0.04057755042632977,29.77,733.77
2024-01-01,2024-01-01,1,HUEVO,0.0252214349384174,18.51,733.77
2024-01-01,2024-01-01,1,QUESO CREMA,0.026977828563114887,19.8,733.77
2024-01-01,2024-01-01,1,otros,0.23467921590909768,172.2,733.77
2024-01-01,2024-01-08,2,CHOCOLATE,0.13470966257902084,189.67,1408.0300000000002
2024-01-01,2024-01-08,2,HARINA,0.13416490524370628,188.91,1408.0300000000002
2024-01-01,2024-01-08,2,FONDANT,0.06772038779950361,95.35,1408.0300000000002
2024-01-01,2024-01-08,2,EMPAQUE,0.11955551354399437,168.34,1408.0300000000002
2024-01-01,2024-01-08,2,RELLENO,0.08904080548661167,125.37,1408.0300000000002
2024-01-01,2024-01-08,2,CHANTILLY,0.08335658402720969,117.37,1408.0300000000002
2024-01-01,2024-01-08,2,DECORACION,0.04399611148299369,61.95,1408.0300000000002
2024-01-01,2024-01-08,2,AMBIANTE,0.04057755042632977,57.13,1408.0300000000002
2024-01-01,2024-01-08,2,HUEVO,0.0252214349384174,35.51,1408.0300000000002
2024-01-01,2024-01-08,2,QUESO CREMA,0.026977828563114887,37.99,1408.0300000000002
2024-01-01,2024-01-08,2,otros,0.23467921590909768,330.44,1408.0300000000002
2024-01-01,2024-01-15,3,CHOCOLATE,0.13470966257902084,102.65,762.03
2024-01-01,2024-01-15,3,HARINA,0.13416490524370628,102.24,762.03
2024-01-01,2024-01-15,3,FONDANT,0.06772038779950361,51.61,762.03
2024-01-01,2024-01-15,3,EMPAQUE,0.11955551354399437,91.1,762.03
2024-01-01,2024-01-15,3,RELLENO,0.08904080548661167,67.85,762.03
2024-01-01,2024-01-15,3,CHANTILLY,0.08335658402720969,63.52,762.03
2024-01-01,2024-01-15,3,DECORACION,0.04399611148299369,33.53,762.03
2024-01-01,2024-01-15,3,AMBIANTE,0.04057755042632977,30.92,762.03
2024-01-01,2024-01-15,3,HUEVO,0.0252214349384174,19.22,762.03
2024-01-01,2024-01-15,3,QUESO CREMA,0.026977828563114887,20.56,762.03
2024-01-01,2024-01-15,3,otros,0.23467921590909768,178.83,762.03
2024-01-01,2024-01-22,4,CHOCOLATE,0.13470966257902084,100.81,748.3900000000001
2024-01-01,2024-01-22,4,HARINA,0.13416490524370628,100.41,748.3900000000001
2024-01-01,2024-01-22,4,FONDANT,0.06772038779950361,50.68,748.3900000000001
2024-01-01,2024-01-22,4,EMPAQUE,0.11955551354399437,89.47,748.3900000000001
2024-01-01,2024-01-22,4,RELLENO,0.08904080548661167,66.64,748.3900000000001
2024-01-01,2024-01-22,4,CHANTILLY,0.08335658402720969,62.38,748.3900000000001
2024-01-01,2024-01-22,4,DECORACION,0.04399611148299369,32.93,748.3900000000001
2024-01-01,2024-01-22,4,AMBIANTE,0.04057755042632977,30.37,748.3900000000001
2024-01-01,2024-01-22,4,HUEVO,0.0252214349384174,18.88,748.3900000000001
2024-01-01,2024-01-22,4,QUESO CREMA,0.026977828563114887,20.19,748.3900000000001
2024-01-01,2024-01-22,4,otros,0.23467921590909768,175.63,748.3900000000001
2024-01-08,2024-01-08,1,CHOCOLATE,0.13470966257902084,98.73,732.9300000000001
2024-01-08,2024-01-08,1,HARINA,0.13416490524370628,98.33,732.9300000000001
2024-01-08,2024-01-08,1,FONDANT,0.06772038779950362,49.63,732.9300000000001
2024-01-08,2024-01-08,1,EMPAQUE,0.11955551354399437,87.63,732.9300000000001
2024-01-08,2024-01-08,1,RELLENO,0.08904080548661168,65.26,732.9300000000001
2024-01-08,2024-01-08,1,CHANTILLY,0.08335658402720972,61.1,732.9300000000001
2024-01-08,2024-01-08,1,DECORACION,0.0439961114829937,32.25,732.9300000000001
2024-01-08,2024-01-08,1,AMBIANTE,0.040577550426329774,29.74,732.9300000000001
2024-01-08,2024-01-08,1,HUEVO,0.0252214349384174,18.49,732.9300000000001
2024-01-08,2024-01-08,1,QUESO CREMA,0.026977828563114887,19.77,732.9300000000001
2024-01-08,2024-01-08,1,otros,0.2346792159090977,172.0,732.9300000000001
2024-01-08,2024-01-15,2,CHOCOLATE,0.13470966257902084,134.95,1001.8000000000001
2024-01-08,2024-01-15,2,HARINA,0.13416490524370628,134.41,1001.8000000000001
2024-01-08,2024-01-15,2,FONDANT,0.06772038779950362,67.84,1001.8000000000001
2024-01-08,2024-01-15,2,EMPAQUE,0.11955551354399437,119.77,1001.8000000000001
2024-01-08,2024-01-15,2,RELLENO,0.08904080548661168,89.2,1001.8000000000001
2024-01-08,2024-01-15,2,CHANTILLY,0.08335658402720972,83.51,1001.8000000000001
2024-01-08,2024-01-15,2,DECORACION,0.0439961114829937,44.07,1001.8000000000001
2024-01-08,2024-01-15,2,AMBIANTE,0.040577550426329774,40.65,1001.8000000000001
2024-01-08,2024-01-15,2,HUEVO,0.0252214349384174,25.27,1001.8000000000001
2024-01-08,2024-01-15,2,QUESO CREMA,0.026977828563114887,27.03,1001.8000000000001
2024-01-08,2024-01-15,2,otros,0.2346792159090977,235.1,1001.8000000000001
2024-01-08,2024-01-22,3,CHOCOLATE,0.13470966257902084,99.22,736.5500000000001
2024-01-08,2024-01-22,3,HARINA,0.13416490524370628,98.82,736.5500000000001
2024-01-08,2024-01-22,3,FONDANT,0.06772038779950362,49.88,736.5500000000001
2024-01-08,2024-01-22,3,EMPAQUE,0.11955551354399437,88.06,736.5500000000001
2024-01-08,2024-01-22,3,RELLENO,0.08904080548661168,65.58,736.5500000000001
2024-01-08,2024-01-22,3,CHANTILLY,0.08335658402720972,61.4,736.5500000000001
2024-01-08,2024-01-22,3,DECORACION,0.0439961114829937,32.4,736.5500000000001
2024-01-08,2024-01-22,3,AMBIANTE,0.040577550426329774,29.89,736.5500000000001
2024-01-08,2024-01-22,3,HUEVO,0.0252214349384174,18.58,736.5500000000001
2024-01-08,2024-01-22,3,QUESO CREMA,0.026977828563114887,19.87,736.5500000000001
2024-01-08,2024-01-22,3,otros,0.2346792159090977,172.85,736.5500000000001
2024-01-08,2024-01-29,4,CHOCOLATE,0.13470966257902084,98.99,734.8399999999999
2024-01-08,2024-01-29,4,HARINA,0.13416490524370628,98.59,734.8399999999999
2024-01-08,2024-01-29,4,FONDANT,0.06772038779950362,49.76,734.8399999999999
2024-01-08,2024-01-29,4,EMPAQUE,0.11955551354399437,87.86,734.8399999999999
